parameter_no,no1,no2,no3,no4,no5,no6,no7,no8,no9,no10,no11,no12,no13,no14,no15,no16,no17,no18,no19,no20
31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,1,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,1,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,1,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,1,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,1,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,1,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,1,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,1,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
