parameter_no,no1,no2,no3,no4,no5,no6,no7,no8,no9,no10,no11,no12,no13,no14,no15,no16,no17,no18,no19,no20
81,1,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,1,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,1,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
124,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
