store_id,clinic_name,store_name,Zipcode,adress,access
sbc_049,湘南美容クリニック,岐阜院,〒500-8833,岐阜県岐阜市神田町9－27大岐阜ビル3階,-
sbc_050,湘南美容クリニック,四日市院,〒510-8585,三重県四日市市諏訪栄町7-34 近鉄百貨店 四日市店8階,-
sbc_051,湘南美容クリニック,豊橋院,〒440-0888,愛知県豊橋市駅前大通1丁目135 ココラアベニュー3階,-
sbc_052,湘南美容クリニック,豊田院,〒471-0027,愛知県豊田市喜多町3丁目110番地 コモ・スクエア・イースト2階,-
sbc_053,湘南美容クリニック,金山院,〒460-0022,愛知県名古屋市中区金山1-15-10 メイフィス金山駅前ビル8階,-
sbc_054,湘南美容クリニック,名古屋栄院,〒460-0003,愛知県名古屋市中区錦3-16-27 栄パークサイドプレイス6階,-
sbc_055,湘南美容クリニック,名古屋院,〒450-0002,愛知県名古屋市中村区名駅3-26-8 KDX名古屋駅前ビル12F,-
sbc_056,湘南美容クリニック,名古屋駅本院,〒450-0002,愛知県名古屋市中村区名駅四丁目８番26号 エニシオ名駅3階,-
sbc_057,湘南美容クリニック,熊谷院,〒360-0037,埼玉県熊谷市筑波3-195 熊谷駅前ビル2階,-
sbc_058,湘南美容クリニック,川越院,〒350-1123,埼玉県川越市脇田本町1-5 川越ウェストビル7F,-
sbc_059,湘南美容クリニック,川口院,〒332-0017,埼玉県川口市栄町3-10-1 長堀ビル5階,-
sbc_060,湘南美容クリニック,所沢院,〒359-1123,埼玉県所沢市日吉町11-19基和ビル5階,-
sbc_061,湘南美容クリニック,浦和院,〒330-0063,埼玉県さいたま市浦和区高砂２丁目８−16 浦和ガーデンビル3階,-
sbc_062,湘南美容クリニック,南越谷院,〒343-0845,埼玉県越谷市南越谷1丁目19-1 LOC‘S南越谷 5階,-
sbc_063,湘南美容クリニック,大宮東口院,〒330-0846,埼玉県さいたま市大宮区大門町2-22-1 TAIGAビル3階,-
sbc_064,湘南美容クリニック,大宮西口院,〒330-0854,埼玉県さいたま市大宮区桜木町一丁目6番地2 大宮スカイビル そごう大宮店 本館13階,-
sbc_065,湘南美容クリニック,津田沼院,〒275-0016,千葉県習志野市津田沼1丁目2番13号 OKビル3階,-
sbc_066,湘南美容クリニック,流山おおたかの森院,〒270-0128,千葉県流山市おおたかの森西1丁目2－3 アゼリアテラス901,-
sbc_067,湘南美容クリニック,千葉センシティ院,〒260-0028,千葉県千葉市中央区新町1000番地 センシティビルディング9階,-
sbc_068,湘南美容クリニック,船橋院,〒273-0005,千葉県船橋市本町4-2-9 菅野屋船橋ビル4階,-
sbc_069,湘南美容クリニック,新浦安院,〒279-0012,千葉県浦安市入船一丁目５番2号 プライムタワー新浦安20階,-
sbc_070,湘南美容クリニック,松戸院,〒271-0092,千葉県松戸市松戸1307-1 松戸ビル2階,-
sbc_071,湘南美容クリニック,柏院,〒277-0921,千葉県柏市柏1-7-1 Day Oneタワー2階,-
sbc_072,湘南美容クリニック,小田原院,〒250-0045,神奈川県小田原市城山1-4-1 城山タワープラザ3階,-
sbc_073,湘南美容クリニック,横須賀中央院,〒238-0008,神奈川県横須賀市大滝町2-15-1 横須賀東相ビル4階,-
sbc_074,湘南美容クリニック,橋本院,〒252-0143,神奈川県相模原市緑区橋本3-19-3 ヴィンテージ橋本２F,-
sbc_075,湘南美容クリニック,辻堂アカデミア,〒251-0041,神奈川県藤沢市辻堂神台1-3-39 オザワビル4F,-
sbc_076,湘南美容クリニック,藤沢院,〒251-0055,神奈川県藤沢市南藤沢3-12 クリオ藤沢4F,-
sbc_077,湘南美容クリニック,本厚木院,〒243-0018,神奈川県厚木市中町2丁目2－1 本厚木ミロード2 7階,-
sbc_078,湘南美容クリニック,新横浜院,〒222-0033,神奈川県横浜市港北区新横浜三丁目6-2 新横浜ゲートサイド7階,-
sbc_079,湘南美容クリニック,イオン横浜西口院,〒220-0005,神奈川県横浜市西区南幸2丁目16-1 イオン CeeU Yokohama 9階,-
sbc_080,湘南美容クリニック,横浜青葉台院,〒227-0062,神奈川県横浜市青葉区青葉台二丁目5番地14 SMBC青葉台ビル6階,-
sbc_081,湘南美容クリニック,横浜東口院,〒220-0011,神奈川県横浜市西区高島2‐19‐12 スカイビル16階,-
sbc_082,湘南美容クリニック,横浜院,〒221-0835,神奈川県横浜市神奈川区鶴屋町2-23-2 TSプラザビル3F,-
sbc_083,湘南美容クリニック,新百合ヶ丘院,〒215-0021,神奈川県川崎市麻生区上麻生一丁目20番1号 小田急アコルデ新百合ヶ丘7階,-
sbc_084,湘南美容クリニック,川崎院,〒210-0024,神奈川県川崎市川崎区日進町1‐11 川崎ルフロン8F,-
sbc_085,湘南美容クリニック,武蔵小杉院,〒211-0016,神奈川県川崎市中原区市ノ坪449‐3シティータワー武蔵小杉2F,-
sbc_086,湘南美容クリニック,八王子院,〒192-0083,東京都八王子市旭町11－8 アクセスビル７F,-
sbc_087,湘南美容クリニック,立川院,〒190-0023,東京都立川市柴崎町3‐6‐23 LXビル４F,-
sbc_088,湘南美容クリニック,調布院,〒182-0026,東京都調布市小島町1丁目35-5 調布アミックスビル4階,-
sbc_089,湘南美容クリニック,吉祥寺院,〒180-0004,東京都武蔵野市吉祥寺本町1丁目8－22 吉祥寺パレスビル3階,-
sbc_090,湘南美容クリニック,町田院,〒194-0013,東京都町田市原町田6－9－7 アエタ町田7階,-
sbc_091,湘南美容クリニック,西葛西院,〒134-0088,東京都江戸川区西葛西3-18-1 1階,-
sbc_092,湘南美容クリニック,北千住院,〒120-0034,東京都足立区千住3丁目74−1 第2白亜ビル2階,-
sbc_093,湘南美容クリニック,豊洲院,〒135-0061,東京都江東区豊洲5-6-36 豊洲プライムスクエア5F,-
sbc_094,湘南美容クリニック,赤羽院,〒115-0045,東京都北区赤羽1－9－3 赤羽駅前ビル7階,-
sbc_095,湘南美容クリニック,東京蒲田院,〒144-0052,東京都大田区蒲田5-17-1 ヒューリック蒲田ビル8F,-
sbc_096,湘南美容クリニック,二子玉川院,〒158-0094,東京都世田谷区玉川3-11-7 T's SQUARE 2階,-
sbc_097,湘南美容クリニック,自由が丘院,〒152-0035,東京都目黒区自由が丘2-13-6 TOKYU REIT 自由が丘スクエア4階,-
sbc_098,湘南美容クリニック,秋葉原院,〒110-0006,東京都台東区秋葉原1-1 秋葉原ビジネスセンター6階,-
sbc_099,湘南美容クリニック,上野院,〒110-0005,東京都台東区上野1-20-11 鈴乃屋本店ビル8F,-
sbc_100,湘南美容クリニック,錦糸町院,〒130-8535,東京都墨田区江東橋4丁目27番14号 楽天地ビル２Ｆ,-
sbc_101,湘南美容クリニック,池袋東口院,〒171-0022,東京都豊島区南池袋一丁目19番地5号 Gビル南池袋01 7階,-
sbc_102,湘南美容クリニック,池袋西口院,〒171-0014,東京都豊島区池袋2-6-1 KDX池袋ビル3F,-
sbc_103,湘南美容クリニック,Regno銀座院,〒104-0061,東京都中央区銀座5‐10‐2GINZA MISS PARIS3階,-
sbc_104,湘南美容クリニック,銀座一丁目院,〒104-0061,東京都中央区銀座1-3-9 マルイト銀座ビル2階,-
sbc_105,湘南美容クリニック,銀座院,〒104-0061,東京都中央区銀座四丁目3番1号 並木館9階,-
sbc_106,湘南美容クリニック,新橋銀座口院,〒105-0004,東京都港区新橋1-12-9 新橋プレイス9F,-
sbc_107,湘南美容クリニック,品川院,〒108-0075,東京都港区港南2-4-3 三和港南ビル3F,-
sbc_108,湘南美容クリニック,表参道院,〒107-0061,東京都港区北青山3-11-7AOビル7階,-
sbc_109,湘南美容クリニック,渋谷院,〒150-0042,東京都渋谷区宇田川町20-11 渋谷三葉ビル5階,-
sbc_110,湘南美容クリニック,新宿南口院,〒160-0022,東京都新宿区新宿４-2-23 新四Ｃurumuビル6階,-
sbc_111,湘南美容クリニック,新宿本院,〒163-1390,東京都新宿区西新宿6-5-1 新宿アイランドタワー24F,-
sbc_112,湘南美容クリニック,水戸院,〒310-0015,茨城県水戸市宮町1-2-4 水戸駅前マイムビル3F,-
sbc_113,湘南美容クリニック,高崎院,〒370-0849,群馬県高崎市八島町70 ラ・メルセ2階,-
sbc_114,湘南美容クリニック,宇都宮院,〒321-0953,栃木県宇都宮市東宿郷2-4-3 宇都宮大塚ビル3階,-
sbc_115,湘南美容クリニック,いわき院,〒970-8026,福島県いわき市平字田町120番地 ラトブ3階,-
sbc_116,湘南美容クリニック,郡山院,〒963-8002,福島県郡山市駅前一丁目16番7号 アティ郡山 8階,-
sbc_117,湘南美容クリニック,福島院,〒960-8031,福島県福島市栄町6-1 メディアシティエスタ4F,-
sbc_118,湘南美容クリニック,仙台院,〒980-0021,宮城県仙台市青葉区中央1ｰ2ｰ3仙台マークワン17階,-
sbc_119,湘南美容クリニック,山形院,〒990-0039,山形県山形市香澄町一丁目１番１号 エスパル山形 5階,-
sbc_120,湘南美容クリニック,秋田院,〒010-0874,秋田県秋田市 千秋久保田町4-2 秋田オーパ7階,-
sbc_121,湘南美容クリニック,青森院,〒038-0012,青森県青森市柳川一丁目2番3号 青森駅ビル・ラビナ4階,-
sbc_122,湘南美容クリニック,旭川院,〒070-0031,北海道旭川市一条通7丁目47番地1 プレミスト旭川ザ・タワー 2階,-
sbc_123,湘南美容クリニック,札幌大通院,〒064-0821,北海道札幌市中央区北一条西3-3-10 KOKOHOTEL札幌駅前 3階,-
sbc_124,湘南美容クリニック,札幌院,〒060-0005,北海道札幌市中央区北5条西2-5 JRタワーオフィスプラザさっぽろ13F,-
lieto_001,リエートクリニック,名古屋院,〒450-0002,愛知県名古屋市中村区名駅4-8-26エニシオ名駅4F,名古屋駅から徒歩3分
lieto_002,リエートクリニック,横浜院,〒221-0835,神奈川県横浜市神奈川区鶴屋町3-29-4CRANE CORNER 2F,横浜駅から徒歩4分
lieto_003,リエートクリニック,池袋院,〒171-0022,東京都豊島区南池袋1丁目25-11 第15野萩ビル 9階,JR線「池袋駅」徒歩1分
eminal_001,エミナルクリニック,那覇院,〒900-0024,沖縄県那覇市東町4-15 幸ビル4階・5階,ゆいレール旭橋駅より徒歩4分 または那覇バス旭橋駅前バス停すぐ
